PriceUpdateDate,ItemCode,ItemType,ItemName,ManufacturerName,ManufactureCountry,ManufacturerItemDescription,UnitQty,Quantity,bIsWeighted,UnitOfMeasure,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,ItemStatus
"2017-02-07 13:31","7296073107989","1","גרעיני תירס שופרסל 800 ג","פרי גליל","IL","גרעיני תירס","גרמים","800.00","0","100 גרם","0","16.60","2.08","1","1"
"2017-02-07 07:26","7296073108443","1","קמח מלא שופרסל 1 ק""ג","שופרסל","IL","קמח חיטה מלא","קילוגרמים","1.00","0","ק""ג","0","7.20","7.20","1","1"
"2017-02-07 08:11","7296073115748","1","סוכר וניל שופרסל 10*10גר","שופרסל","IL","סוכר וניל 10 יח","גרמים","100.00","0","100 גרם","0","3.30","3.30","1","1"
"2017-02-07 08:11","7296073116783","1","שומשום שופרסל 100 גרם","מיה","IL","שומשום שופרסל","גרמים","100.00","0","100 גרם","0","4.40","4.40","1","1"
"2017-02-07 08:11","7296073117094","1","שוק.צ'יפס מריר שופרסל300","אופנהיימר","IL","שוקולד צ'יפס","גרמים","300.00","0","100 גרם","0","12.00","4.00","1","1"
"2017-02-07 08:11","7296073123972","1","ניוקי קטנים שופרסל500גרם","שופרסל","IT","ניוקי קטנים","גרמים","500.00","0","100 גרם","0","11.90","2.38","1","1"
"2017-02-07 13:31","7296073124160","1","שום קפוא מגשית שופרסל 80","שופרסל","IL","שום קפוא מגשית","גרמים","80.00","0","100 גרם","0","10.90","13.63","1","1"
"2017-02-07 07:32","7296073125907","1","מי פה ט.מנטה שופרסל500מל","שופרסל","ES","מי פה מנטה","מיליליטרים","500.00","0","100 מ""ל","0","9.90","1.98","1","1"
"2017-02-07 07:32","7296073125914","1","מי פה ט.מרענן שופרסל500מ","שופרסל","ES","מי פה טעם מרענן","מיליליטרים","500.00","0","100 מ""ל","0","9.90","1.98","1","1"
"2017-02-07 08:11","7296073125952","1","אורז יסמין שופרסל 1 ק""ג","ltd co produce Uthai","TH","אורז יסמין","קילוגרמים","1.00","0","ק""ג","0","11.00","11.00","1","1"
"2017-02-07 08:11","7296073128229","1","מעדן תות שדה שופרסל284גר","LTD 99 CIMA","BG","מעדן תות שדה","גרמים","284.00","0","100 גרם","0","14.80","5.21","1","1"
"2017-02-07 08:11","7296073128236","1","מעדן מישמש שופרסל 284 גר","LTD 99 CIMA","BG","מעדן מישמש","גרמים","284.00","0","100 גרם","0","14.80","5.21","1","1"
"2017-02-07 08:11","7296073128243","1","מעדן דובדבנים שופרסל284ג","LTD 99 CIMA","BG","מעדן דובדבנים","גרמים","284.00","0","100 גרם","0","14.80","5.21","1","1"
"2017-02-07 08:11","7296073128250","1","מעדן אוכמניות כחולות284ג","LTD 99 CIMA","BG","מעדן אוכמניות","גרמים","284.00","0","100 גרם","0","14.80","5.21","1","1"
"2017-02-07 08:11","7296073128267","1","מעדן פירות אדומ.שופר284ג","LTD 99 CIMA","BG","מעדן פירות אדומ.","גרמים","284.00","0","100 גרם","0","14.80","5.21","1","1"
"2017-02-07 07:32","7296073129516","1","נר נשמה 24 שעות שופרסל","שופרסל","IL","נר נשמה","יחידה","1.00","0","יחידה","0","2.40","2.40","1","1"
"2017-02-07 07:32","7296073129523","1","נר נשמה שבועי שופרסל","שופרסל","IL","נר נשמה שבועי","יחידה","1.00","0","יחידה","0","11.50","11.50","1","1"
"2017-02-07 07:32","7296073129530","1","נרות חימום בשקית 50 יח'","שופרסל","IL","נרות חימום","יחידה","1.00","0","יחידה","0","10.90","10.90","1","1"
"2017-02-07 08:11","7296073130499","1","מיץ לימון שופרסל 200 מ""ל","סי פרווידר","IT","מיץ לימון שופרסל","מיליליטרים","200.00","0","100 מ""ל","0","6.40","3.20","1","1"
"2017-02-07 13:36","7296073132165","1","ממרח קרם קקאו+אגוזים350ג","שופרסל","IT","ממרח קרם קקאו","גרמים","350.00","0","100 גרם","0","8.90","2.54","1","1"
"2017-02-07 08:11","7296073132936","1","עוגת מאפין שיש שופרסל400","גידרון","IL","עוגת מאפין","גרמים","400.00","0","100 גרם","0","11.50","2.88","1","1"
"2017-02-07 08:11","7296073132943","1","עוגת מאפין שוק.שופרסל400","גידרון","IL","עוגת מאפין","גרמים","400.00","0","100 גרם","0","11.50","2.88","1","1"
"2017-02-07 08:11","7296073132950","1","עוגת מאפין וניל שופר400ג","גידרון","IL","עוגת מאפין","גרמים","400.00","0","100 גרם","0","11.50","2.88","1","1"
"2017-02-07 08:11","7296073134442","1","קרקר חיטה שופרסל 300 גרם","שופרסל","IL","קרקר חיטה","גרמים","300.00","0","100 גרם","0","14.50","4.83","1","1"
"2017-02-07 08:11","7296073134459","1","קרקר סגנ.שוודי שופרסל300","שופרסל","","קרקר שוודי","גרמים","300.00","0","100 גרם","0","14.50","4.83","1","1"
"2017-02-07 08:11","7296073134534","1","קפה טורקי שופרסל 100 גרם","שופרסל","IL","קפה טורקי שופרסל","גרמים","100.00","0","100 גרם","0","5.90","5.90","1","1"
"2017-02-07 08:11","7296073134541","1","קפה טורקי שופרסל 100*3גר","שופרסל","IL","קפה טורקי 3 יח'","גרמים","300.00","0","100 גרם","0","16.60","5.53","1","1"
"2017-02-07 08:11","7296073140184","1","עוגת מאפין תפוז שופר400ג","גידרון","IL","עוגת מאפין תפוז","גרמים","400.00","0","100 גרם","0","11.50","2.88","1","1"
"2017-02-07 13:36","7296073140672","1","ממרח קרם קקאו שופרסל750ג","שופרסל","","ממרח קרם קקאו","גרמים","750.00","0","100 גרם","0","21.60","2.88","1","1"
"2017-02-07 08:11","7296073146933","1","שוק.אוורירי מריר שופר100","שופרסל","CH","שוקולד אוורירי","גרמים","100.00","0","100 גרם","0","6.20","6.20","1","1"
"2017-02-07 08:11","7296073146940","1","שוק.אוורירי חלב שופר100ג","שופרסל","CH","שוקולד אוורירי","גרמים","100.00","0","100 גרם","0","6.20","6.20","1","1"
"2017-02-07 08:11","7296073151470","1","פריכיות קטנות 3דגנים 50ג","שופרסל","IL","פריכיות קטנות","גרמים","50.00","0","100 גרם","0","8.50","17.00","1","1"
"2017-02-07 08:11","7296073152453","1","קפה טורקי ואקום שופר200ג","שופרסל","IL","קפה טורקי בואקום","גרמים","200.00","0","100 גרם","0","16.10","8.05","1","1"
