bag,1,14.5,14.5,Shupersal-Shelly_Nativ-Hen
bag,2,14.5,14.5,Shupersal-Shelly_Nativ-Hen
stain remover,0,13.9666666667,1.56666666667,Shupersal-Shelly_Nativ-Hen
stain remover,1,27.9,9.3,Shupersal-Shelly_Nativ-Hen
stain remover,2,14.9,11.92,Shupersal-Shelly_Nativ-Hen
apple,0,9.9,9.9,Shupersal-Express_Marganit
apple,1,13.9,13.9,Shupersal-Express_Marganit
apple,2,13.9,13.9,Shupersal-Express_Marganit
deodorant,0,22.9,15.27,Shupersal-Express_Marganit
deodorant,1,22.9,15.27,Shupersal-Express_Marganit
deodorant,2,26.9,53.8,Shupersal-Express_Marganit
milk,0,5.68333333333,5.31,Shupersal-Express_Marganit
milk,1,9.0275,7.23125,Shupersal-Express_Marganit
milk,2,14.2,10.3,Shupersal-Express_Marganit
white cheese,0,4.6,1.84,Shupersal-Express_Marganit
white cheese,1,10.0333333333,3.63666666667,Shupersal-Express_Marganit
white cheese,2,15.5333333333,6.64,Shupersal-Express_Marganit
peanut snack,0,9.1,4.55,Shupersal-Express_Marganit
peanut snack,1,4.53333333333,5.67,Shupersal-Express_Marganit
peanut snack,2,4.2,9.42,Shupersal-Express_Marganit
coffee,0,14.35,8.215,Shupersal-Express_Marganit
coffee,1,29.9333333333,14.9666666667,Shupersal-Express_Marganit
coffee,2,15.9,31.8,Shupersal-Express_Marganit
yellow cheese,0,6.3,4.2,Shupersal-Express_Marganit
yellow cheese,1,28.9,7.23,Shupersal-Express_Marganit
yellow cheese,2,15.1444444444,7.57222222222,Shupersal-Express_Marganit
toilet paper,0,41.9,4.87,Shupersal-Express_Marganit
toilet paper,1,29.9,5.09,Shupersal-Express_Marganit
toilet paper,2,15.9,15.9,Shupersal-Express_Marganit
bleach,0,14.6,1.95,Shupersal-Express_Marganit
bleach,1,8.9,2.23,Shupersal-Express_Marganit
bleach,2,10.9,2.73,Shupersal-Express_Marganit
pasta,0,6.4,1.355,Shupersal-Express_Marganit
pasta,1,14.15,4.405,Shupersal-Express_Marganit
pasta,2,13.1,10.08,Shupersal-Express_Marganit
fabric softener,0,14.9,1.66,Shupersal-Express_Marganit
fabric softener,1,14.9,1.66,Shupersal-Express_Marganit
fabric softener,2,19.9,2.07,Shupersal-Express_Marganit
bread,0,13.72,2.42,Shupersal-Express_Marganit
bread,1,4.886,2.92,Shupersal-Express_Marganit
bread,2,12.65,12.65,Shupersal-Express_Marganit
onion,0,5.9,5.9,Shupersal-Express_Marganit
onion,1,6.9,6.9,Shupersal-Express_Marganit
onion,2,6.9,6.9,Shupersal-Express_Marganit
garbage bag,0,14.2,14.2,Shupersal-Express_Marganit
garbage bag,1,23.9,23.9,Shupersal-Express_Marganit
garbage bag,2,28.2,28.2,Shupersal-Express_Marganit
frozen ,0,19.9,2.49,Shupersal-Express_Marganit
frozen ,1,21.7,2.71,Shupersal-Express_Marganit
frozen ,2,19.9,3.32,Shupersal-Express_Marganit
hamburger,0,23.5666666667,5.47333333333,Shupersal-Deal_Haifa-mall
hamburger,1,37.75,5.49,Shupersal-Deal_Haifa-mall
hamburger,2,12.9,12.9,Shupersal-Deal_Haifa-mall
apple,0,8.9,8.9,Shupersal-Deal_Haifa-mall
apple,1,11.9,11.9,Shupersal-Deal_Haifa-mall
apple,2,12.9,12.9,Shupersal-Deal_Haifa-mall
fats remover,0,10.0,1.33,Shupersal-Deal_Haifa-mall
fats remover,1,14.8,2.96,Shupersal-Deal_Haifa-mall
fats remover,2,15.0,15.0,Shupersal-Deal_Haifa-mall
deodorant,0,13.8891304348,9.5,Shupersal-Deal_Haifa-mall
deodorant,1,14.4692307692,26.8723076923,Shupersal-Deal_Haifa-mall
deodorant,2,24.18,40.6346666667,Shupersal-Deal_Haifa-mall
Dish soap,0,8.88333333333,1.32666666667,Shupersal-Deal_Haifa-mall
Dish soap,1,11.2833333333,9.41,Shupersal-Deal_Haifa-mall
Dish soap,2,15.9,15.74,Shupersal-Deal_Haifa-mall
pepper,0,9.9,9.9,Shupersal-Deal_Haifa-mall
pepper,1,10.9,10.9,Shupersal-Deal_Haifa-mall
pepper,2,12.9,12.9,Shupersal-Deal_Haifa-mall
lettuce,0,9.9,3.376,Shupersal-Deal_Haifa-mall
lettuce,1,6.9,6.9,Shupersal-Deal_Haifa-mall
lettuce,2,12.25,12.25,Shupersal-Deal_Haifa-mall
milk,0,5.9125,1.5125,Shupersal-Deal_Haifa-mall
milk,1,6.705,6.58541666667,Shupersal-Deal_Haifa-mall
milk,2,11.74,7.382,Shupersal-Deal_Haifa-mall
yellow cheese,0,17.6565217391,6.69956521739,Shupersal-Deal_Haifa-mall
yellow cheese,1,36.3416666667,36.3416666667,Shupersal-Deal_Haifa-mall
yellow cheese,2,64.1666666667,64.1666666667,Shupersal-Deal_Haifa-mall
toothpaste,0,11.66,10.578,Shupersal-Deal_Haifa-mall
toothpaste,1,18.57,23.186,Shupersal-Deal_Haifa-mall
toothpaste,2,21.9,43.8,Shupersal-Deal_Haifa-mall
coconut cream,0,8.98571428571,2.26142857143,Shupersal-Deal_Haifa-mall
coconut cream,1,12.2,12.2,Shupersal-Deal_Haifa-mall
coconut cream,2,18.7,18.7,Shupersal-Deal_Haifa-mall
peanut snack,0,3.81666666667,6.62916666667,Shupersal-Deal_Haifa-mall
peanut snack,1,14.675,8.07,Shupersal-Deal_Haifa-mall
peanut snack,2,24.9,8.3,Shupersal-Deal_Haifa-mall
tomato,0,5.9,5.9,Shupersal-Deal_Haifa-mall
tomato,1,9.9,9.9,Shupersal-Deal_Haifa-mall
tomato,2,9.9,9.9,Shupersal-Deal_Haifa-mall
coffee,0,13.2304347826,7.97608695652,Shupersal-Deal_Haifa-mall
coffee,1,29.1238095238,14.3161904762,Shupersal-Deal_Haifa-mall
coffee,2,19.0727272727,27.6654545455,Shupersal-Deal_Haifa-mall
oil,0,13.9,8.405,Shupersal-Deal_Haifa-mall
oil,1,14.2333333333,13.7,Shupersal-Deal_Haifa-mall
oil,2,16.6,16.6,Shupersal-Deal_Haifa-mall
tampons,0,22.525,22.525,Shupersal-Deal_Haifa-mall
tampons,1,25.6333333333,25.6333333333,Shupersal-Deal_Haifa-mall
tampons,2,31.1333333333,31.1333333333,Shupersal-Deal_Haifa-mall
white cheese,0,5.71176470588,1.83882352941,Shupersal-Deal_Haifa-mall
white cheese,1,12.0846153846,5.08307692308,Shupersal-Deal_Haifa-mall
white cheese,2,35.6666666667,35.6666666667,Shupersal-Deal_Haifa-mall
toilet paper,0,29.5,5.85,Shupersal-Deal_Haifa-mall
toilet paper,1,41.0125,5.935,Shupersal-Deal_Haifa-mall
toilet paper,2,13.2,13.2,Shupersal-Deal_Haifa-mall
bleach,0,10.7222222222,2.28333333333,Shupersal-Deal_Haifa-mall
bleach,1,6.9,3.45,Shupersal-Deal_Haifa-mall
bleach,2,8.9,17.8,Shupersal-Deal_Haifa-mall
pasta,0,6.28823529412,1.30058823529,Shupersal-Deal_Haifa-mall
pasta,1,21.6,4.794,Shupersal-Deal_Haifa-mall
pasta,2,13.6818181818,4.96727272727,Shupersal-Deal_Haifa-mall
fabric softener,0,13.0923076923,2.49923076923,Shupersal-Deal_Haifa-mall
